label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Light_Switch,351,112,179,187,Img_1.jpg,720,1280
Radiator,133,843,566,249,Img_10.jpg,720,1280
Knob_Radiator,142,857,54,52,Img_10.jpg,720,1280
Knob_Radiator,71,555,93,101,Img_100.jpg,720,1280
Radiator,66,514,504,245,Img_100.jpg,720,1280
Radiator,333,497,387,249,Img_101.jpg,720,1280
Knob_Radiator,327,530,120,134,Img_101.jpg,720,1280
Knob_Radiator,167,547,110,110,Img_102.jpg,720,1280
Radiator,177,514,497,246,Img_102.jpg,720,1280
Light_Switch,338,718,125,133,Img_103.jpg,720,1280
Light_Switch,309,825,165,132,Img_103.jpg,720,1280
Radiator,365,537,355,477,Img_104.jpg,720,1280
Knob_Radiator,359,624,162,150,Img_104.jpg,720,1280
Knob_Radiator,49,1064,115,102,Img_105.jpg,720,1280
Radiator,62,1018,376,262,Img_105.jpg,720,1280
Light_Switch,312,743,41,47,Img_105.jpg,720,1280
Light_Switch,309,708,45,38,Img_105.jpg,720,1280
Light_Switch,372,691,94,77,Img_106.jpg,720,1280
Light_Switch,379,763,91,78,Img_106.jpg,720,1280
Light_Switch,334,767,59,60,Img_107.jpg,720,1280
Light_Switch,335,723,51,51,Img_107.jpg,720,1280
Light_Switch,430,116,172,162,Img_108.jpg,720,1280
Knob_Radiator,320,672,127,133,Img_109.jpg,720,1280
Radiator,328,651,392,244,Img_109.jpg,720,1280
Radiator,124,639,579,275,Img_11.jpg,720,1280
Knob_Radiator,104,682,128,130,Img_11.jpg,720,1280
Light_Switch,596,66,103,121,Img_11.jpg,720,1280
Light_Switch,611,0,107,86,Img_11.jpg,720,1280
Knob_Radiator,311,674,153,119,Img_110.jpg,720,1280
Radiator,332,646,388,270,Img_110.jpg,720,1280
Radiator,119,414,460,310,Img_111.jpg,720,1280
Knob_Radiator,134,511,102,111,Img_111.jpg,720,1280
Light_Switch,418,0,102,75,Img_111.jpg,720,1280
Radiator,13,774,610,334,Img_112.jpg,720,1280
Light_Switch,403,154,137,125,Img_112.jpg,720,1280
Light_Switch,405,10,134,146,Img_112.jpg,720,1280
Radiator,225,233,495,472,Img_113.jpg,720,1280
Knob_Radiator,220,285,120,127,Img_113.jpg,720,1280
Knob_Radiator,9,553,126,106,Img_114.jpg,720,1280
Radiator,21,512,534,302,Img_114.jpg,720,1280
Radiator,115,742,605,275,Img_115.jpg,720,1280
Knob_Radiator,106,778,138,149,Img_115.jpg,720,1280
Light_Switch,631,123,89,121,Img_115.jpg,720,1280
Light_Switch,304,707,118,90,Img_116.jpg,720,1280
Light_Switch,293,776,145,112,Img_116.jpg,720,1280
Knob_Radiator,241,670,203,177,Img_117.jpg,720,1280
Radiator,159,335,561,693,Img_117.jpg,720,1280
Radiator,0,642,463,281,Img_118.jpg,720,1280
Light_Switch,286,82,103,107,Img_118.jpg,720,1280
Light_Switch,278,2,115,92,Img_118.jpg,720,1280
Light_Switch,317,129,185,183,Img_119.jpg,720,1280
Knob_Radiator,537,438,121,146,Img_12.jpg,720,1280
Radiator,0,361,689,615,Img_12.jpg,720,1280
Radiator,21,832,609,329,Img_120.jpg,720,1280
Knob_Radiator,10,878,61,63,Img_120.jpg,720,1280
Knob_Radiator,150,703,136,131,Img_121.jpg,720,1280
Radiator,141,113,579,943,Img_121.jpg,720,1280
Radiator,134,267,345,224,Img_122.jpg,720,1280
Knob_Radiator,130,296,69,82,Img_122.jpg,720,1280
Light_Switch,280,827,70,79,Img_123.jpg,720,1280
Light_Switch,274,770,72,74,Img_123.jpg,720,1280
Knob_Radiator,50,643,82,123,Img_124.jpg,720,1280
Radiator,33,302,687,687,Img_124.jpg,720,1280
